40 1 40 40 165
40 2 79 81 203
40 3 117 103 199
40 4 154 123 207
40 5 190 141 197
40 6 225 148 207
40 7 259 167 211
40 8 292 173 220
40 9 324 175 225
40 10 355 199 230
40 11 385 206 234
40 12 414 212 230
40 13 442 220 231
40 14 469 220 237
40 15 495 228 243
40 16 520 234 241
40 17 544 243 257
40 18 567 250 268
40 19 589 256 261
40 20 610 261 262
40 21 630 272 271
40 22 649 278 280
40 23 667 284 290
40 24 684 285 283
40 25 700 298 299
40 26 715 299 292
40 27 729 303 302
40 28 742 312 310
40 29 754 311 311
40 30 765 323 310
40 31 775 332 318
40 32 784 329 325
40 33 792 340 332
40 34 799 348 328
40 35 805 351 332
40 36 810 360 345
40 37 814 373 355
40 38 817 374 354
40 39 819 384 366
40 40 820 169 372

