60 1 60 60 325
60 2 119 121 296
60 3 177 142 341
60 4 234 184 337
60 5 290 200 341
60 6 345 232 335
60 7 399 231 357
60 8 452 251 361
60 9 504 260 366
60 10 555 276 359
60 11 605 290 345
60 12 654 289 371
60 13 702 310 375
60 14 749 314 379
60 15 795 322 380
60 16 840 336 387
60 17 884 353 385
60 18 927 349 398
60 19 969 361 388
60 20 1010 375 406
60 21 1050 384 413
60 22 1089 382 413
60 23 1127 396 427
60 24 1164 406 416
60 25 1200 411 432
60 26 1235 416 438
60 27 1269 419 433
60 28 1302 434 441
60 29 1334 431 444
60 30 1365 442 440
60 31 1395 447 456
60 32 1424 453 455
60 33 1452 466 471
60 34 1479 473 472
60 35 1505 480 466
60 36 1530 485 485
60 37 1554 487 487
60 38 1577 507 493
60 39 1599 509 499
60 40 1620 509 506
60 41 1640 517 513
60 42 1659 529 517
60 43 1677 536 525
60 44 1694 543 526
60 45 1710 544 531
60 46 1725 555 542
60 47 1739 559 546
60 48 1752 572 553
60 49 1764 575 560
60 50 1775 585 561
60 51 1785 588 572
60 52 1794 601 577
60 53 1802 602 581
60 54 1809 600 583
60 55 1815 616 587
60 56 1820 622 599
60 57 1824 624 599
60 58 1827 627 607
60 59 1829 640 618
60 60 1830 283 624
